FullTicker,SharesAmount,PurchasePrice,ClosingPrice31_12_2025,ManualSnapshotPrice,,,,,,,
ABNB,10,114.556,135.72,,,,,,,,
ACHR,100,8.0475,7.52,,,,,,,,
ACN,2,220.35,,,,,,,,,
AKO1L.VS,1000,1.149,1.84,,,,,,,,
ALMEX,30,18.1,13.6,,,,,,,,
AMD,2,133,214.16,,,,,,,,
AMZN,2,209.91,,,,,,,,,
ANET,5,107.5,131.03,,,,,,,,
APLD,10,29.91,24.52,,,,,,,,
AVAV,5,156.78,241.89,,,,,,,,
AVGO,2,288.58,346.1,,,,,,,,
BAL1R.RG,101,2,6.6,,,,,,,,
BBAI,100,3.115,5.4,,,,,,,,
BE,10,18.97,86.89,,,,,,,,
BILL,10,40.05,54.54,,,,,,,,
BMW,10,67.12,93.14,,,,,,,,
BOL.ST,25,100,515.2,,,,,,,,
C,10,28.75,116.69,,,,,,,,
CCL,20,18.725,30.54,,,,,,,,
CFLT,20,24,30.24,,,,,,,,
CHWY,20,18.055,33.05,,,,,,,,
CORZ,50,16.49,14.56,,,,,,,,
CPNG,20,22.22,23.59,,,,,,,,
CRBU,100,1.9,1.59,,,,,,,,
CRWV,5,33,71.61,,,,,,,,
CSIQ,10,33,23.77,,,,,,,,
CVNA,5,25.87,422.02,,,,,,,,
CVX,4,147.15,152.41,,,,,,,,
DAL,10,33.12,69.4,,,,,,,,
DDOG,4,109.75,135.99,,,,,,,,
DOCU,10,56.89,68.4,,,,,,,,
EGG.RG,120,,4.92,,,,,,,,
EH,20,17.82,13.18,,,,,,,,
F,100,13.535,13.12,,,,,,,,
GCT,30,18.35,39.28,,,,,,,,
GM,10,33.49,81.32,,,,,,,,
GOOG,4,125,313.8,,,,,,,,
IBM,2,314.37,,,,,,,,,
INOD,10,15.83,50.95,,,,,,,,
INTC,40,25.445,36.9,,,,,,,,
IONQ,30,27.18,44.87,,,,,,,,
JKS,30,4.15,25.81,,,,,,,,
JOBY,30,8.39,13.2,,,,,,,,
KESKOB.HE,20,19.995,19.25,,,,,,,,
LAC,260,5.83,4.36,,,,,,,,
LGD1L,100,0.719,0.84,,,,,,,,
LHA.DE,225,6.196,8.41,,,,,,,,
LLY,1,808.7,1074.68,,,,,,,,
LMND,10,13.56,71.18,,,,,,,,
LMT,2,539.36,,,,,,,,,
LRCX,10,82.877,171.18,,,,,,,,
LUV,10,31.5,41.33,,,,,,,,
MRK1T.TL,100,14.012,31.3,,,,,,,,
MRVL,10,96.53,84.98,,,,,,,,
MSFT,2,329.47,483.62,,,,,,,,
MU,5,100,285.39,,,,,,,,
NBIS,10,47.83,83.71,,,,,,,,
NEE,10,81.5,80.28,,,,,,,,
NFLX,5,99.95,93.76,,,,,,,,
NIO,120,5.560833333,5.1,,,,,,,,
NOKIA.HE,200,2.723,5.57,,,,,,,,
NOV.DE,20,82.48,44.04,,,,,,,,
NU,30,14.2,16.74,,,,,,,,
NVDA,4,115.91,186.5,,,,,,,,
NVTS,50,2.995,7.14,,,,,,,,
ONDS,30,12.64,,,,,,,,,
ORCL,5,163,194.91,,,,,,,,
ORRON.ST,200,13.07,4.61,,,,,,,,
OUT1V.HE,100,5.4,4.48,,,,,,,,
OXY,20,39.76,41.12,,,,,,,,
PATH,30,12.8,16.39,,,,,,,,
PLTR,5,7.57,177.75,,,,,,,,
PLUG,200,2.8,1.97,,,,,,,,
PSKY,30,14.8,13.4,,,,,,,,
QBTS,50,7.05,26.15,,,,,,,,
QS,30,15.94,10.42,,,,,,,,
QUBT,50,15.965,10.26,,,,,,,,
RGTI,50,17.825,22.15,,,,,,,,
RIOT,30,10,12.67,,,,,,,,
RIVN,25,12.975,19.71,,,,,,,,
ROE1L,500,0.572,0.94,,,,,,,,
ROKU,5,74.7,108.49,,,,,,,,
RSU1L.VS,200,2.9,4.56,,,,,,,,
RTX,5,186.88,,,,,,,,,
RXRX,100,5,4.09,,,,,,,,
SAAB-B.ST,40,148.75,537.6,,,,,,,,
SAF1R.RG,200,4.754,6.86,,,,,,,,
SEB-A.ST,100,35.1,195.1,,,,,,,,
SERV,50,9,10.38,,,,,,,,
SFG1T.TL,1000,0.984,1.25,,,,,,,,
SHOT.ST,200,28.79,97.3,,,,,,,,
SINCH.ST,200,25,31.47,,,,,,,,
SKN1T.TL,200,0.534,0.77,,,,,,,,
SOFI,20,18.42,26.18,,,,,,,,
SOUN,100,8.365,9.97,,,,,,,,
STNE,30,13.295,14.79,,,,,,,,
STOR-B.ST,300,12.5,11.74,,,,,,,,
SWED-A.ST,76,28.224,321.1,,,,,,,,
SYM,10,29.16,59.5,,,,,,,,
T,30,14.745,24.84,,,,,,,,
TAL1T.TL,2000,0.535,0.58,,,,,,,,
TEL2-B.ST,100,90,154.55,,,,,,,,
TELIA1.HE,300,2.337,3.65,,,,,,,,
TEVA,30,20.2,31.21,,,,,,,,
TKM1T.TL,100,9.68,9.5,,,,,,,,
TOST,20,24.82,35.51,,,,,,,,
TPD1T.TL,500,0.651,0.63,,,,,,,,
TSLA,3,171,449.72,,,,,,,,
TSM,5,108.76,303.89,,,,,,,,
TUI1.DE,100,6.582,8.98,,,,,,,,
TVE1T.TL,40,9.385,11,,,,,,,,
UPST,20,20,43.73,,,,,,,,
VRT,2,177,162.01,,,,,,,,
VTRS,100,9.69,12.45,,,,,,,,
VZ,30,40,40.73,,,,,,,,
ZMP1L.VS,200,1.64,2.68,,,,,,,,
